开奖日期,期号,中奖号码,销售额(元),中奖注数一等奖,中奖注数二等奖,详细
2019-06-02,2019063.0,01  14  19  22  29  31  16,361222550.0,5  (黑 豫 鄂 琼),91.0,
2019-05-30,2019062.0,07  13  16  23  26  30  01,339468976.0,7  (沪 苏 浙 鄂..),161.0,
2019-05-28,2019061.0,03  17  19  24  27  31  12,335296666.0,6  (京 皖 渝 川..),80.0,
2019-05-26,2019060.0,03  04  14  20  23  27  01,367103342.0,2  (豫 粤),118.0,
2019-05-23,2019059.0,04  05  07  09  16  18  06,345567246.0,2  (鄂 桂),125.0,
2019-05-21,2019058.0,07  08  12  21  23  27  12,339299672.0,20  (冀 黑 沪 苏..),127.0,
2019-05-19,2019057.0,04  05  06  08  13  18  16,372560948.0,7  (黑 沪 湘 深圳..),127.0,
2019-05-16,2019056.0,13  14  17  19  21  29  01,351267630.0,1  (赣),78.0,
2019-05-14,2019055.0,01  06  11  15  19  31  10,350070872.0,2  (豫 粤),61.0,
2019-05-12,2019054.0,07  10  11  15  24  26  11,376075414.0,8  (京 吉 鲁 鄂..),132.0,
2019-05-09,2019053.0,04  16  22  25  29  31  08,345533966.0,12  (蒙 沪 苏 鄂..),109.0,
2019-05-07,2019052.0,03  06  09  13  16  19  16,342251970.0,153  (京 津 冀 晋..),2295.0,
2019-05-05,2019051.0,08  09  10  13  15  28  09,371316762.0,13  (晋 蒙 吉 黑..),120.0,
2019-05-02,2019050.0,04  06  10  11  21  23  02,311858860.0,13  (辽 吉 沪 皖..),100.0,
2019-04-30,2019049.0,03  10  13  22  23  28  15,333775314.0,9  (京 津 黑 浙..),205.0,
2019-04-28,2019048.0,03  07  10  12  18  29  10,379210874.0,8  (冀 苏 湘 粤),153.0,
2019-04-25,2019047.0,03  11  18  25  30  33  14,349665886.0,1  (粤),388.0,
2019-04-23,2019046.0,02  12  16  22  25  32  06,349236650.0,17  (津 黑 沪 浙..),132.0,
2019-04-21,2019045.0,01  06  17  19  27  31  14,380577960.0,7  (辽 苏 粤 深圳..),83.0,
2019-04-18,2019044.0,06  14  16  17  23  29  07,350579948.0,12  (津 浙 皖 湘..),188.0,
2019-04-16,2019043.0,01  06  12  13  24  32  13,345296562.0,2  (鲁 鄂),99.0,
2019-04-14,2019042.0,15  17  19  22  25  26  04,376134240.0,4  (冀 晋 闽 鲁),132.0,
2019-04-11,2019041.0,02  09  13  23  24  26  16,347145834.0,2  (赣 豫),103.0,
2019-04-09,2019040.0,05  06  09  18  23  31  11,335974062.0,8  (京 黑 赣 豫..),159.0,
2019-04-07,2019039.0,06  07  11  14  27  32  08,363128750.0,11  (苏 浙 桂 陕),136.0,
2019-04-04,2019038.0,09  12  21  27  29  30  05,335328036.0,10  (沪 浙 鄂 渝..),101.0,
2019-04-02,2019037.0,01  07  12  14  18  25  10,344923376.0,12  (苏 浙 鲁 豫..),213.0,
2019-03-31,2019036.0,02  10  13  16  23  32  08,383547756.0,21  (津 冀 辽 吉..),85.0,
2019-03-28,2019035.0,01  05  07  09  10  20  16,354951028.0,11  (京 冀 黑 沪..),233.0,
2019-03-26,2019034.0,09  11  15  22  24  26  03,354652922.0,10  (京 冀 辽 沪..),103.0,
2019-03-24,2019033.0,09  15  19  21  23  29  15,385168218.0,22  (晋 苏 浙 豫..),224.0,
2019-03-21,2019032.0,04  08  09  13  28  33  04,353034100.0,6  (沪 苏 粤 贵..),228.0,
2019-03-19,2019031.0,03  13  15  18  21  33  16,358344316.0,5  (苏 渝),119.0,
2019-03-17,2019030.0,04  05  07  10  12  22  16,392415448.0,17  (晋 吉 浙 皖..),196.0,
2019-03-14,2019029.0,08  11  17  23  32  33  10,358515950.0,6  (蒙 浙 闽 鲁..),83.0,
2019-03-12,2019028.0,04  19  22  26  29  30  11,356878622.0,11  (冀 闽 鲁 豫..),165.0,
2019-03-10,2019027.0,02  06  08  10  11  17  13,393236612.0,9  (鲁 湘 粤 贵),223.0,
2019-03-07,2019026.0,03  13  15  19  20  27  14,349411720.0,10  (京 蒙 皖 赣..),105.0,
2019-03-05,2019025.0,15  16  21  27  30  33  04,345714892.0,5  (辽 黑 湘 桂),74.0,
2019-03-03,2019024.0,01  08  23  25  28  29  10,384117562.0,8  (津 沪 浙 湘..),99.0,
2019-02-28,2019023.0,01  10  14  15  18  31  13,353488994.0,13  (蒙 黑 苏 浙..),336.0,
2019-02-26,2019022.0,03  07  11  21  30  33  07,338829860.0,19  (苏 皖 赣 鲁..),169.0,
2019-02-24,2019021.0,02  05  07  08  20  27  04,370839306.0,6  (津 豫 鄂 川..),214.0,
2019-02-21,2019020.0,02  12  13  23  27  28  12,330603914.0,11  (沪 浙 豫 鄂..),233.0,
2019-02-19,2019019.0,03  11  17  18  24  25  06,326400930.0,24  (京 津 冀 沪..),268.0,
2019-02-17,2019018.0,04  11  18  19  26  32  04,349743310.0,8  (苏 浙 皖 粤..),364.0,
2019-02-14,2019017.0,04  05  24  28  30  33  09,312764888.0,3  (辽 沪 滇),50.0,
2019-02-12,2019016.0,05  07  09  11  19  25  05,314659700.0,11  (冀 蒙 鲁 豫..),157.0,
2019-02-03,2019015.0,11  15  16  20  24  31  04,386508326.0,13  (晋 辽 黑 苏..),181.0,
2019-01-31,2019014.0,01  02  03  14  19  33  03,327526362.0,7  (辽 苏 豫 粤),168.0,
2019-01-29,2019013.0,05  07  14  16  18  21  01,332648408.0,4  (黑 浙 豫 陕),77.0,
2019-01-27,2019012.0,07  10  21  23  31  33  14,370443836.0,2  (黑),55.0,
2019-01-24,2019011.0,10  13  19  21  24  30  07,340431350.0,4  (冀 辽 豫),72.0,
2019-01-22,2019010.0,02  04  05  08  11  30  02,336769874.0,15  (京 冀 晋 黑..),178.0,
2019-01-20,2019009.0,01  07  10  22  31  32  15,376873348.0,12  (辽 鲁 湘 粤..),122.0,
2019-01-17,2019008.0,02  06  09  13  28  32  12,342498692.0,4  (鲁 粤 渝 川),86.0,
2019-01-15,2019007.0,06  10  14  15  19  23  15,340543166.0,9  (吉 浙 豫 鄂..),198.0,
2019-01-13,2019006.0,01  05  10  19  26  28  12,375825296.0,32  (京 晋 辽 黑..),96.0,
2019-01-10,2019005.0,21  22  26  28  31  32  07,343365078.0,11  (苏 闽 赣 豫..),68.0,
2019-01-08,2019004.0,08  12  16  19  26  32  03,338080388.0,8  (辽 苏 豫 川..),222.0,
2019-01-06,2019003.0,13  17  20  21  22  27  01,373728002.0,5  (沪 浙 鲁 陕),129.0,
2019-01-03,2019002.0,04  05  06  08  09  18  11,345144344.0,9  (京 沪 豫 粤..),129.0,
2019-01-01,2019001.0,06  10  13  15  32  33  15,341453440.0,14  (浙 鲁 深圳 渝..),147.0,
2018-12-30,2018153.0,01  07  17  23  25  31  11,363663410.0,4  (沪 豫 鄂),133.0,
2018-12-27,2018152.0,04  14  16  23  28  29  03,342935808.0,20  (晋 蒙 辽 吉..),168.0,
2018-12-25,2018151.0,05  15  19  25  26  29  15,345353380.0,4  (辽 闽 赣 豫),203.0,
2018-12-23,2018150.0,06  08  15  19  20  31  05,377320206.0,15  (冀 蒙 沪 苏..),270.0,
2018-12-20,2018149.0,01  07  08  10  12  24  01,353364860.0,12  (辽 黑 苏 浙..),212.0,
2018-12-18,2018148.0,03  06  18  19  21  31  01,346743178.0,11  (浙 皖 豫 粤..),210.0,
2018-12-16,2018147.0,03  15  17  23  27  30  11,378419434.0,11  (辽 沪 苏 闽..),102.0,
2018-12-13,2018146.0,02  10  11  17  18  29  16,345409226.0,13  (京 苏 浙 鲁..),157.0,
2018-12-11,2018145.0,03  09  13  22  23  25  06,349376292.0,21  (辽 沪 浙 皖..),172.0,
2018-12-09,2018144.0,08  13  17  18  20  27  13,387956028.0,1  (津),117.0,
2018-12-06,2018143.0,04  06  15  28  32  33  14,373157016.0,16  (冀 蒙 浙 鲁..),117.0,
2018-12-04,2018142.0,05  08  10  11  27  28  11,390581690.0,16  (冀 黑 沪 浙..),242.0,
2018-12-02,2018141.0,11  14  16  18  24  33  04,416166816.0,2  (皖 湘),115.0,
2018-11-29,2018140.0,01  15  20  22  25  28  14,386006162.0,0,103.0,
2018-11-27,2018139.0,11  18  20  23  31  32  15,380559364.0,10  (辽 苏 鲁 粤..),82.0,
2018-11-25,2018138.0,01  10  25  27  30  32  09,412013682.0,3  (皖 粤 陕),67.0,
2018-11-22,2018137.0,03  05  11  15  20  23  09,379485292.0,10  (蒙 吉 苏 渝..),141.0,
2018-11-20,2018136.0,10  12  15  25  26  27  14,377111910.0,6  (冀 辽 鄂 粤..),149.0,
2018-11-18,2018135.0,01  03  06  10  11  29  16,406719454.0,4  (京 晋 辽 豫),133.0,
2018-11-15,2018134.0,03  16  18  31  32  33  12,377767366.0,11  (京 辽 苏 皖..),297.0,
2018-11-13,2018133.0,02  04  11  12  18  32  13,374106026.0,3  (粤 甘),65.0,
2018-11-11,2018132.0,01  02  09  10  15  22  06,408709916.0,12  (辽 黑 浙 豫..),104.0,
2018-11-08,2018131.0,21  22  24  31  32  33  01,383809176.0,2  (冀 浙),125.0,
2018-11-06,2018130.0,05  12  17  18  24  28  12,374274632.0,17  (京 晋 黑 沪..),841.0,
2018-11-04,2018129.0,02  04  06  16  18  19  16,418290398.0,7  (京 辽 鲁 豫..),117.0,
2018-11-01,2018128.0,06  07  08  19  22  23  02,388471822.0,11  (蒙 辽 苏 皖..),300.0,
2018-10-30,2018127.0,02  05  06  07  11  15  12,383266268.0,13  (蒙 沪 浙 皖..),202.0,
2018-10-28,2018126.0,01  06  08  09  14  22  05,415778246.0,8  (皖 湘 贵 滇..),138.0,
2018-10-25,2018125.0,03  10  11  14  15  32  02,391293382.0,3  (冀 蒙 辽),54.0,
2018-10-23,2018124.0,09  13  14  19  22  25  02,378069006.0,4  (鲁 湘 粤 青),127.0,
2018-10-21,2018123.0,13  21  24  27  31  32  01,410429482.0,6  (豫 鄂 粤 贵..),115.0,
2018-10-18,2018122.0,05  07  20  22  30  32  10,327644802.0,31  (冀 晋 辽 黑..),230.0,
2018-10-16,2018121.0,06  08  14  19  23  25  11,321305376.0,11  (辽 浙 赣 鄂..),142.0,
2018-10-14,2018120.0,03  04  18  26  27  33  01,357215818.0,5  (津 冀 辽 鄂),185.0,
2018-10-11,2018119.0,03  13  14  16  25  27  12,328321394.0,10  (冀 晋 黑 湘..),117.0,
2018-10-09,2018118.0,08  12  21  22  27  31  09,322015414.0,7  (浙 鄂 粤 深圳..),140.0,
2018-10-07,2018117.0,08  11  15  17  23  25  05,340052040.0,6  (京 苏 鲁 粤..),189.0,
2018-10-04,2018116.0,05  14  17  22  23  28  15,281786404.0,44  (蒙 黑 浙 湘..),320.0,
2018-10-02,2018115.0,01  13  19  24  26  29  11,273986534.0,1  (粤),52.0,
2018-09-30,2018114.0,01  07  15  16  20  27  14,336072030.0,6  (津 浙 闽 川..),203.0,
2018-09-27,2018113.0,01  06  09  16  25  26  09,314160394.0,11  (京 冀 赣 粤..),208.0,
2018-09-25,2018112.0,05  08  18  25  26  31  04,302328982.0,11  (冀 辽 苏 鲁..),154.0,
2018-09-23,2018111.0,01  07  14  24  25  28  08,320180512.0,11  (京 辽 沪 浙..),143.0,
2018-09-20,2018110.0,11  13  16  21  22  23  02,307066624.0,2  (吉 渝),66.0,
2018-09-18,2018109.0,10  11  18  23  31  33  15,306989720.0,4  (黑 苏 鲁 川),69.0,
2018-09-16,2018108.0,05  13  18  21  26  30  02,322147946.0,22  (京 冀 沪 浙..),179.0,
2018-09-13,2018107.0,01  02  05  12  20  22  01,317508712.0,6  (辽 浙 赣 鲁..),139.0,
2018-09-11,2018106.0,04  18  19  24  25  26  10,312096980.0,4  (京 辽 鲁),125.0,
2018-09-09,2018105.0,04  05  13  18  19  25  01,343324268.0,17  (京 沪 苏 皖..),150.0,
2018-09-06,2018104.0,02  03  06  19  25  29  01,312637426.0,5  (京 辽 沪 鲁..),158.0,
2018-09-04,2018103.0,02  09  15  22  23  24  16,314574584.0,7  (吉 闽 赣 鲁..),111.0,
2018-09-02,2018102.0,02  06  11  19  21  28  05,340812198.0,4  (浙 闽 鲁 川),163.0,
2018-08-30,2018101.0,01  03  14  26  29  33  09,308676480.0,5  (冀 浙 粤),70.0,
2018-08-28,2018100.0,02  11  14  15  29  33  02,309533260.0,3  (冀 鲁 豫),91.0,
